CopilotInsight,Copilot Insights validation_status,Copilot Insights comment,Copilot Insights_human_review,Copilot Insights_human_comment
She is aware of Copilot for Microsoft 365 however she has not got it because is too expensive and for her it doesn't make sense paying an expensive subscription without  having Copilot integrated to it She expects Copilot to be an added service to the subscriptions,0,The entry is invalid because it does not provide specific insights into how Copilot impacts workflows or user satisfaction. It also lacks actionable details and does not connect to a specific use case of the product. The feedback is more about pricing and subscription model rather than user experience or business impact.,Disagree,Actionable and customer-centric
CX advised that Copilot takes too long to respond to query versus ChatGPT CX also said that while using it on the browser session freezes and after restarting Tab he has to retype query ,0,The entry is invalid because it lacks specificity regarding the impact on workflows and does not provide actionable insights. It also does not connect Copilot insights to specific business goals or use cases. The feedback about SharePoint is unrelated to Copilot.,Disagree,"This is valid Copilot insight, It provides feedback about the performance and usability of Copilot compared to ChatGPT"
The customer is hesitant to make a purchase due to the requirement of an annual commitment for Copilot as they prefer more flexible monthly options ,0,"The entry is invalid because it does not provide specific insights into how Copilot impacts user workflows or satisfaction. It focuses on the customer's purchasing decision rather than their experience with the product. Additionally, it lacks actionable details and does not connect to a specific use case of the product.",Disagree,The feedback is specific and actionable and clear customer impact of the customer being hesitant to make a copilot purchase. They are more flexible with monthly payments
Customer said copilot is a very useful tool he often uses to research and learn new topics However the free version is limited in its deliverables as it sometimes provides shallow and repetitive answers,0,"The entry lacks specificity and actionability. While it mentions that the customer finds Copilot useful for research and learning, it does not provide specific details on how it impacts their workflows or satisfaction. Additionally, the feedback about the free version being limited is too general and does not offer clear guidance for improvements. The business needs and goals section is also not directly connected to the specific use case of Copilot mentioned by the customer.",Disagree,"the feedback is actionable regarding the depth of copilot answers.
"
Copilot may struggle with understanding the specific context and nuances of wedding planning leading to less accurate suggestions and assistance,0,"The insight lacks specificity regarding how Copilot impacts workflows or user satisfaction. It also does not provide actionable guidance for improvements or changes. Additionally, it does not clearly connect to a specific use case of the product or provide detailed information.",Disagree,this is a valid recommendation that can help improving the product 
| Co pilot AI response slow and some times doesn't understand  the questions,0,"The entry is invalid because it lacks specificity, impact on workflows, actionability, and customer-centric details. It does not provide enough context on how the slow response and misunderstanding of questions impact the user's workflow or satisfaction. Additionally, the business needs and goals mentioned are not directly connected to the use case of Copilot.",Disagree,This is a valid insight on Copilot's responsiveness and understanding of queries.
The customer mentioned that the M365 Chat Bing web experience chat takes multiple prompts to get the right responses and sometimes gives responses that are not always right ,0,"The entry is invalid because it does not provide specific insights related to Copilot's impact on workflows, user satisfaction, or actionable feedback. It also does not connect the insight to a specific use case of the product or the business goals and needs of the customer. The feedback is too general and lacks detail on how it affects the customer's experience or how it can be improved.",Disagree,Customer has specific insight of how M365 chat bing is giving incorrect answers and the negative experience he has in using the feature
Customer mentioned that copilot has a lot of censorship in image generation Example- Copilot doesn't generate images of a police officer holding a radar gun  Customer mentioned that the copilot takes too long to load on browser (3 seconds),0,"The entry is invalid because it primarily focuses on feature limitations (censorship in image generation) and performance issues (loading time) without providing specific insights into user workflows, business impact, or actionable feedback. Additionally, it does not connect to a specific use case or business goal related to Copilot.",Disagree,
The customer acknowledged the high cost of developing AI and suggested that Microsoft should reduce the cost for customers who are also using Microsoft subscriptions particularly for small businesses This would make AI more affordable for many users and could potentially lead to increased sales,0,"The entry does not provide specific insights related to Copilot's features or its impact on workflows. It mainly discusses the cost of AI development and the customer's motivation for subscribing to Microsoft 365 for professional email features, which are not directly related to Copilot. The feedback is not actionable for Copilot improvements.",Disagree,
A customer expressed interest in using Copilot but highlighted that while Copilot can generate images based on descriptions it currently lacks the capability to edit or modify existing images that users upload,0,"The entry is invalid because it does not provide a specific use case of the product, nor does it connect the insight to the business goals or needs of the customer. The feedback about Copilot's image generation capabilities is not actionable or detailed enough to provide clear guidance for improvements. Additionally, the business needs and goals mentioned are not directly related to the Copilot feature discussed.",Disagree,
Customer would like to lower the price of Copilot for small business and have a free trial to see the value of AI for business ,0,"The entry is invalid because it primarily focuses on pricing and trial requests rather than providing specific, actionable insights about the product's impact on workflows or user experiences. It lacks detailed information on how Copilot is used or its specific benefits to the customer's business.",Disagree,Payment methods and subscription management is a valid product insight
She is concerned with the pricing model or the billing frequency She hopes that there will be offer for month-to-month charging ,0,"The entry is invalid because it does not provide specific insights related to Copilot's features or user experiences. It focuses on concerns about pricing and billing frequency, which are not actionable insights for product improvement. Additionally, the suggestion about document versioning is not directly related to Copilot and lacks customer-centric feedback.",Disagree,Payment methods and subscription management is a valid product insight
created a PPT slide show using Copilot but it didn't apply the formats from slide master,0,"The entry is invalid because it primarily describes a feature issue (Copilot not applying formats from slide master) without providing specific insights into user workflows, business impact, or actionable feedback. Additionally, the business needs and goals section is unrelated to the Copilot insight and does not provide relevant context.",Disagree,Failure to adhere to user instructions is a valid Copilot Insight
The customer is seeking a monthly subscription option expressing concerns about committing to a full year for a new service They are dissatisfied with the exclusive yearly plan and are specifically looking for a more flexible monthly payment solution,0,"The entry does not provide specific insights about Copilot's features or its impact on workflows. It focuses on the customer's preference for a monthly subscription option rather than a yearly plan, which is not directly related to Copilot's functionality or user experience. Additionally, the business needs and goals mentioned are too general and do not provide actionable insights related to Copilot.",Disagree,Payment methods and subscription management is a valid product insight
The customer works at Airmesh Inc She is aware of Microsoft Copilot but has never used it so I suggested trying the features specifically on managing their calendar where it enhances scheduling and calendar management experience with AI-driven features like Meeting Scheduling which can help you schedule meetings including setting agendas and finding suitable times for all participants Focus Time Agenda preparation and daily summaries,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific insights based on customer feedback or experiences. It lacks specificity, actionability, and customer-centric insights. The entry does not provide detailed information on how Copilot impacts the customer's workflows or satisfaction.",Disagree,features provided how the recommendation can be helpful to the customer based on the stated need for calendaring
Explained that Copilot can summarize long email threads highlight key points and suggest responses helping them quickly understand and respond reducing email overload It generates summaries of previous emails and meetings for upcoming appointments ensuring they are well-prepared boosting productivity and professionalism Additionally Copilot helps find and integrate relevant information into documents streamlining research and making it easier to compile comprehensive accurate reports,0,"The entry primarily describes features of Copilot rather than providing specific insights based on customer feedback or experiences. It lacks specificity, actionability, and customer-centric details. The business needs and goals section is also too general and does not connect directly to specific use cases or actionable insights.",Disagree,Recommendation is relevant to the stated business goal as well as the features and the benefits stated.
The customer in the Healthcare Education Industry is not aware of Copilot I recommended  Copilot in Outlook that help to manage and triage the email more efficiently by providing personalized suggestions summaries and insights It can draft email responses schedule  Copilot in OneDrive can organize and manage cloud storage efficiently She will late make a decision if she needs it or not ,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific insights based on customer feedback. It lacks specificity, actionability, and customer-centric insights. The entry does not detail how Copilot impacts the customer's workflows or satisfaction, nor does it provide actionable guidance for improvements. Additionally, the customer has not yet made a decision on using Copilot, so there is no concrete use case or impact described.",Disagree,Recommendation is relevant to the goal stated to facilitate communication between team members 
The customer who runs a small communication agency was initially unaware of Copilot During our discussion I explained that Copilot is an AI integrated into Office apps It can analyze projects and risk registers providing suggested mitigations in Project Additionally it can summarize unattended meetings and suggest replies in Teams The customer expressed significant interest in Copilot's capabilities and I provided further documentation to assist in their decision-making process,0,"The entry lacks specific insights into how Copilot impacts the customer's workflows or satisfaction. It mainly describes features of Copilot rather than providing actionable feedback or detailed user experiences. Additionally, it does not clearly connect Copilot's capabilities to the business goals or specific use cases of the customer.",Disagree,lacks details as there can be specific recommendations to provide based on the goal
Customer told that he often uses copilot in web for his design modules and he found it very convenient to use but he said that the subscription is bit pricy,0,"The insight lacks specificity regarding how Copilot impacts the customer's workflow or satisfaction. While it mentions convenience and pricing, it does not provide actionable details or specific use cases related to Copilot's features. Additionally, it does not clearly connect to the business goals or needs of the customer.",Disagree,The insight is specific referring to copilot chat in web and the impact it has on the customer experience positive (design modules) and negative (being too pricy)
