CopilotInsight,Copilot Insights validation_status,Copilot Insights comment,Copilot Insights_human_review,Copilot Insights_human_comment
The client runs a veterinary clinic and is interested in maximizing the use of M365 apps they're already familiar with I recommend drafting documents in Word performing data analysis in Excel and creating presentations from scratch in PowerPoint The client is aware of Copilot but hasn't used it yet They are particularly keen on learning more about Copilot and will check the cost and integration options for their business They plan to implement Copilot to enhance their clinic's operations,0,"The entry lacks specific insights about Copilot's impact on the client's workflows or satisfaction. It mainly describes the client's current use of M365 apps and their interest in learning more about Copilot without providing actionable feedback or specific use cases. The entry needs to focus more on how Copilot can specifically enhance their operations and provide detailed, customer-centric insights.",Agree,
Customer who works for a construction company uses outlook word excel& Teams for the business During the conversation I recommended the use of Copilot with Teams it helps summarize key discussion points action items and outcomes during meetings enhancing collaboration and with Outlook it summarizes email thread draft responses and suggest improvements for tone and clarity Customer is interested in using Copilot,0,"The entry is invalid because it primarily describes the features of Copilot rather than providing specific insights into the customer's experience, impact on workflows, or actionable feedback. Additionally, the business needs and goals mentioned do not directly connect to the specific use case of Copilot. The entry lacks specificity, actionability, and customer-centric feedback.",Agree,
Our customer who has to create spreadsheets on Excel is not aware of copilot During our call I explained the potential benefits of Copilot in MS Excel with its ability to suggest formulas to ensure that all calculations are efficiently done without any errors Customer expressed interest and sought more information about Copilot,0,"The entry is invalid because it primarily describes a feature explanation rather than providing specific, actionable insights based on customer feedback. It lacks details on how Copilot impacts the customer's workflow or satisfaction and does not offer clear guidance for improvements or changes.",Agree,"This is a personal productivity scenario, so the recommendation made by the agent makes sense with regards to the business goals presented"
The client runs a swimwear brand offering stylish and eco-friendly options They mainly use Word for document creation and editing Outlook for email communication and calendar management and Excel for inventory management sales tracking and data analysis During our conversation I recommended Copilot for Microsoft 365 to enhance productivity by drafting Word documents emails in Outlook and analyzing data in Excel The client expressed interest in using Copilot and plans to try it soon,0,"The entry lacks specific insights into how Copilot impacts the client's workflows or satisfaction. It mainly describes the client's current use of Microsoft 365 apps and the recommendation to use Copilot. There is no detailed feedback from the client about their experience or specific use cases for Copilot. Additionally, the business needs and goals section does not provide actionable insights related to Copilot.",Agree,"There's enough background on what the customer does, and what it tries to accomplish, and the copilot features recommended are connected to the use cases defined by the customer"
I provided the customer with an overview of how Copilot can enhance her experience with Office apps I highlighted features like rewriting Word documents adjusting email tones in Outlook and creating dashboards in Excel The customer showed interest and will take some time to evaluate if Copilot’s features are worth the investment,0,"The entry is invalid because it primarily describes the features of Copilot rather than providing specific, actionable insights based on customer feedback. It lacks details on how Copilot impacts the customer's workflows or satisfaction and does not offer clear guidance for improvements. Additionally, it does not connect Copilot's use to a specific business goal or use case.",Agree,
The customer is a catering services company that offer services corporate and individuals Therefore I introduced them to Copilot explaining how it can help them with their emails as can summarize emails and suggest responses to the emails Also Copilot can assist them with managing their emails and set reminders and appointments for next events,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific, actionable insights based on customer feedback. It lacks specificity about how Copilot impacts the customer's workflows and does not offer detailed, customer-centric insights. Additionally, it does not connect the insight to a specific use case or provide sufficient detail.",Agree,"The insight covers features that are specific ( i.e. email summaries ) and relevant to the customer's workflows (ie. staying on top of events, important for a catering business )"
The customer finds Microsoft Word exceptionally effective for her transcription work Although she was introduced to Copilot time constraints prevented a detailed discussion She expressed satisfaction with the product's performance so far and is interested in exploring Copilot further to enhance her workflow,0,"The entry lacks specificity regarding how Copilot impacts the customer's workflow. While it mentions interest in exploring Copilot further, it does not provide actionable insights or specific use cases related to Copilot. Additionally, the feedback is not detailed enough to offer clear guidance for improvements or changes.",Agree,
The customer is aware of Copilot and uses it from time to time but has no experience with Copilot inside MS 365 After a brief introduction it was highlighted how Copilot can be a very powerful tool inside MS 365 tools like Word for drafting and summarizing documents The customer shows interest in learning more and implementing Copilot especially for improving his document processing efficiency and reducing the time spent on repetitive tasks,0,"The entry lacks specificity and detailed actionable insights. It does not provide specific feedback from the customer about their experience with Copilot, nor does it offer clear guidance for improvements. The entry is more of a general statement of interest rather than a specific, actionable insight.",Agree,
The cx's business is in a Mortgage Broker industry that helps find customer a loan for a property  Mostly using Teams for internal collaboration also Word and Excel for documents I recommended him Copilot for Teams to transcribe meetings and Generate formulas in Excel He said he will try copilot and check if it will be helpful for his business,0,"The entry is invalid because it primarily describes the customer's business and the features of Copilot that were recommended. It lacks specific insights into how Copilot impacts the customer's workflows, satisfaction, or business goals. Additionally, it does not provide actionable feedback or detailed use cases related to Copilot.",Agree,
The customer a freelancer signed up for the subscription to evaluate its potential She uses Word for CVs and professional documents Excel for spreadsheets and data analysis and Outlook for client communication I introduced Copilot's features for drafting and responding to emails in Outlook but she wasn't interested as she doesn't plan to keep the subscription,0,"The entry is invalid because it lacks specificity and actionability. It does not provide detailed insights into how Copilot impacts the customer's workflows or satisfaction. The customer feedback is not actionable as it does not offer clear guidance for improvements or changes. Additionally, the customer has expressed disinterest in keeping the subscription, which does not align with the criteria of providing value to the product team.",Agree,
Customer who works for business strategic solution offer services aimed at helping businesses develop During the conversation I recommended the use of Copilot with teams which can assist with scheduling and summarizing meetings ensuring everyone stays informed and aligned It also provides real-time insights during meetings enhancing decision-making and productivity Customer mentioned she will try to review copilot and then she will use it,0,"The entry is invalid because it primarily describes a recommendation of Copilot features rather than providing specific, actionable insights based on customer feedback. It lacks specificity about how Copilot impacts the customer's workflows or satisfaction. Additionally, the customer's feedback is vague and does not offer clear guidance for improvements or changes.",Agree,We need to change the rubric to accept recommendations as well
The customer is aware of Copilot but has not yet tested it I highlighted how Copilot can assist in various tasks such as creating dynamic presentations quickly in PowerPoint drafting and formatting letters in Word and analyzing data in Excel Although the customer is currently not interested in implementing Copilot they expressed a willingness to consider it in the future Emphasizing the potential time savings and efficiency gains that it offers might encourage them to explore in future,0,"The entry is invalid because it primarily describes the features of Copilot and the customer's current lack of interest in implementing it. It does not provide specific insights into how Copilot impacts user workflows, satisfaction, or business goals. Additionally, it lacks actionable feedback or detailed use cases related to Copilot.",Agree,
The customer who works in the consulting industry utilizes Microsoft Teams for collaboration Outlook for email communication and Excel for managing spreadsheets During our discussion I highlighted how Copilot can enhance their workflow by summarizing meetings in Teams responding to messages in Outlook and sorting and highlighting data in Excel The customer expressed particular interest in using Copilot to summarize meetings in Teams,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific, actionable insights based on customer feedback. While it mentions the customer's interest in using Copilot to summarize meetings in Teams, it lacks detailed information on how this impacts their workflow or satisfaction. Additionally, it does not provide clear guidance for improvements or changes.",Agree,
Cx who is interested in using MS 365 apps alongside with outlook for her Wife Coaching company was aware of Copilot But was not aware of MS365 Copilot so I recommended PowerPoint feature which will allow her to create presentations within 20 seconds that includes pictures and instructions as well also recommended Outlook features such as Drafting emails since cx mentioned she is usually using Copilot to email potential partners Cx was interested in the service,0,"The entry is invalid because it primarily focuses on the features of Copilot rather than providing specific insights into user experiences, business impact, or unique use cases. It lacks specificity, actionability, and customer-centric feedback. The entry should focus more on how Copilot impacts the user's workflow or satisfaction and provide detailed, actionable insights.",Agree,
The customer in the financial field uses PPT for presentations Word for documents Excel for client information and Outlook for communication and scheduling I highlighted how Copilot could assist with data filtering and remediation in Excel The customer mentioned he has tried Copilot and appreciates Microsoft's efforts but prefers Claude for its intelligence and versatility,0,"The entry is invalid because it lacks specificity, impact on workflows, and actionability. It does not provide detailed insights into how Copilot impacts the customer's workflows or satisfaction. The customer's preference for Claude over Copilot is mentioned, but no actionable feedback or specific use case for Copilot is provided. Additionally, the business needs and goals section does not connect directly to Copilot's use cases.",Agree,"Valid from the prompt point of view, but the criteria is too strict"
Since the customer decided to use OneDrive for her administrative business I suggested she utilize Copilot's file versioning feature This tool helps manage document versions track changes revert to earlier versions and prevent data loss It enhances organization and productivity in her workflow,0,"The entry primarily describes a feature of Copilot (file versioning) and suggests its use. It lacks specific customer feedback or insights on how this feature impacts their workflow or satisfaction. Additionally, it does not provide actionable insights or detailed information on the customer's experience with Copilot. To be valid, the entry should include specific feedback from the customer on how Copilot's file versioning has impacted their business goals or workflow.",Agree,"Prompt is well applied, but the criteria is too strict"
